"Date_UTC","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-08-11 22:00:00,"LW",4.23584864292065,0.635770021277718,0.289955576787862,0.389666661526622,0,0.441366666666667,0.4368,0.41965,0.41655,0.395966666666667,0.404816666666667,0.406383333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 23:00:00,"LW",1.90494480189492,0.224339139153592,0.267464177070189,0.122545744586003,0,0.120703703703704,0.122428571428571,0.118482142857143,0.117160714285714,0.112472727272727,0.111,0.112017857142857,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-12,NA,1.40896564685368,0.468814696801629,0.799406585061837,0.216419535726649,0.0120018364700669,0.101183333333333,0.09025,0.0834333333333333,0.0811333333333333,0.07395,0.0765166666666667,0.0748333333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-12 01:00:00,"LW",1.85604828012526,0.73698584766179,0.612937931881903,0.179480040346646,0,0.0930833333333333,0.0926333333333333,0.0879666666666667,0.08535,0.0781666666666667,0.0823389830508475,0.0832105263157895,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-12 02:00:00,"LW",1.58688776835217,0.648684707277604,0.5456898102509,0.354021636565382,0,0.10355,0.100133333333333,0.09325,0.0913833333333333,0.0830333333333333,0.09005,0.0865333333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-12 03:00:00,"LW",1.28664148998265,0.829292907782783,0.471240978756048,0.244137480492273,0,0.09345,0.0913,0.0858,0.08385,0.0760338983050848,0.08255,0.0792,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-12 04:00:00,"LW",1.32163652632452,0.649738596551506,0.224570963394383,0.361874284571921,0,0.105516666666667,0.103116666666667,0.0975,0.0944333333333333,0.08505,0.0981896551724138,0.0917796610169491,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-12 05:00:00,"LW",1.30601829926683,0.567914743563863,0.0736923342947852,0.271779408579705,0,0.240583333333333,0.240433333333333,0.226316666666667,0.222933333333333,0.2047,0.216416666666667,0.213433333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-12 06:00:00,"LW",1.15404448176919,0.294146610720394,0.39249009825317,0.190833260259577,0,0.3942,0.398016666666667,0.377183333333333,0.368166666666667,0.343083333333333,0.355133333333333,0.354283333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-12 07:00:00,"LW",1.2849602533379,0.236546638968343,0.239415208644746,0.167522046528519,0,0.35515,0.349883333333333,0.331116666666667,0.324366666666667,0.303866666666667,0.307216666666667,0.3096,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
